email,time_homework,time_lectures,module,time_homework_homework-01b,time_lectures_homework-01b,module_homework-01b,time_homework_homework-02,time_lectures_homework-02,module_homework-02,time_homework_homework-03,time_lectures_homework-03,module_homework-03,time_homework_homework-04,time_lectures_homework-04,module_homework-04,time_homework_homework-05,time_lectures_homework-05,module_homework-05,time_homework_homework-06,time_lectures_homework-06,module_homework-06,time_homework_homework-piperider,module_homework-piperider,time_evaluate,module_project-01-eval,time_project,module_project-01-submissions,time_evaluate_project-02-eval,module_project-02-eval,time_project_project-02-submissions,module_project-02-submissions,user_id
157e3680526fb0d86bfa01570b79502f1a0c3fef,1.0,10.0,homework-01a,3.0,2.0,homework-01b,10.0,8.0,homework-02,2.0,2.0,homework-03,5.0,7.0,homework-04,2.0,10.0,homework-05,0.0,0.0,homework-06,2.0,homework-piperider,,,,,,,,,88
15b3a2caefb83713a9584ca4e8713eb530abb725,2.0,4.0,homework-01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89
15c3c3889e570a5dbd80faa9275417fa1d1c19e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,project-02-eval,25.0,project-02-submissions,90
160022081dc13fb80a48b7c58eca651c737f87c7,1.0,4.0,homework-01a,0.5,3.0,homework-01b,2.0,6.0,homework-02,0.5,2.0,homework-03,1.0,6.0,homework-04,,,,,,,,,,,,,,,,,91
1600930061cb8d1efd0644b420a2a36bb2a8f055,3.0,0.0,homework-01a,,,,,,,,,,,,,,,,,,,,,,,,,1.0,project-02-eval,120.0,project-02-submissions,92
168205de143705df24f44b98afabac5815e0813b,5.0,7.0,homework-01a,0.5,3.0,homework-01b,6.0,5.0,homework-02,6.0,4.0,homework-03,10.0,6.0,homework-04,4.0,8.0,homework-05,2.0,5.0,homework-06,,,,,,,0.5333333333333333,project-02-eval,45.0,project-02-submissions,93
16a344f12b79ea8e946cc7d80f56e1b4c6121830,1.0,8.0,homework-01a,0.5,3.0,homework-01b,2.0,5.0,homework-02,1.0,4.0,homework-03,1.0,4.0,homework-04,1.0,5.0,homework-05,,,,,,,,,,,,,,94
16e6100502a77537cc23e831fcd8815668905b0a,0.0,0.0,homework-01a,0.0,0.0,homework-01b,0.0,0.0,homework-02,0.0,0.0,homework-03,0.0,0.0,homework-04,0.0,0.0,homework-05,24.0,3.0,homework-06,,,,,,,0.75,project-02-eval,32.0,project-02-submissions,95
18308e10ab511a33e802f3003cd6ac116a983b85,2.0,4.0,homework-01a,2.0,4.0,homework-01b,2.0,4.0,homework-02,3.0,5.0,homework-03,3.0,5.0,homework-04,4.0,6.0,homework-05,3.0,6.0,homework-06,,,6.0,project-01-eval,6.0,project-01-submissions,5.0,project-02-eval,6.0,project-02-submissions,96
18377534675b6777f8f70272621890fb253efaff,8.0,2.0,homework-01a,2.0,6.0,homework-01b,8.0,2.0,homework-02,,,,,,,,,,,,,,,,,,,,,,,97
188d886d9bddebb66dfc8add466f2e1e2a9dbf2d,5.0,5.0,homework-01a,0.0,0.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,98
18fee222423140fdbdceea4a49246ba4950ff7db,2.0,2.0,homework-01a,2.0,2.0,homework-01b,4.0,2.0,homework-02,2.0,2.0,homework-03,1.0,2.0,homework-04,2.0,6.0,homework-05,2.0,2.0,homework-06,,,,,,,,,,,99
195b59707405a5b831697528fb36c44dfb0e5799,3.0,5.0,homework-01a,1.0,1.0,homework-01b,27.0,6.0,homework-02,80.0,5.0,homework-03,30.0,3.0,homework-04,54.0,20.0,homework-05,,,,,,0.5,project-01-eval,168.0,project-01-submissions,,,,,100
19b0fc70f8c76830a7fa94ddddb66da304ffc85a,6.0,24.0,homework-01a,6.0,24.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,101
1a2faa617d4541bef2bbd3abc9281fcb4d0ba469,3.0,6.0,homework-01a,1.0,2.0,homework-01b,5.0,6.0,homework-02,,,,6.0,5.0,homework-04,0.0,0.0,homework-05,,,,,,,,,,,,,,102
1aa9ca99745fe32c87dbe2fa08e50068449a86d1,3.0,15.0,homework-01a,1.0,3.0,homework-01b,10.0,15.0,homework-02,2.0,8.0,homework-03,3.0,25.0,homework-04,2.0,30.0,homework-05,1.0,15.0,homework-06,1.0,homework-piperider,,,,,2.5,project-02-eval,100.0,project-02-submissions,103
1acdd3e334225ab6d4e43a8b703760dd6f560d2d,2.0,4.0,homework-01a,2.0,2.0,homework-01b,,,,,,,,,,,,,,,,,,1.0,project-01-eval,8.0,project-01-submissions,,,,,104
